name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total
Wunderkind,Attraction,"3318 NE 55th St, Seattle, WA 98105, USA",47.6686478,-122.2919477,ChIJi7FB9oAUkFQRu5ETzau_RV0,bar|cafe|establishment|food|point_of_interest,4,128
Play at the center,Attraction,"370 Thomas St, Seattle, WA 98109, USA",47.6217682,-122.3497367,ChIJz9uqfEYVkFQRVu1saZX2C9k,establishment|point_of_interest,4.7,26
The Ridge Activity Center,Attraction,"3827 Maltby Rd, Bothell, WA 98021, USA",47.8137889,-122.1811498,ChIJGddpYgUPkFQRmhIH2cU984w,establishment|gym|health|point_of_interest,4.7,443
Safari Auburn,Attraction,"1101 Outlet Collection Way Suite 1049, Auburn, WA 98001, USA",47.2992841,-122.2432708,ChIJe6JoaTZZkFQR0UMI9J2qKkM,establishment|point_of_interest,4.6,270
Gas Works Park Kid Playground,Attraction,"2101 N Northlake Way, Seattle, WA 98103, USA",47.64579029999999,-122.3332984,ChIJc0mManwVkFQRvR1ZhLBABSE,establishment|point_of_interest,4.3,27
Elevated Sportz Trampoline Park & Event Center,Attraction,"18311 Bothell Everett Hwy #140, Bothell, WA 98012, USA",47.8318555,-122.2078521,ChIJXaWT3_kFkFQRzG1tfZbo8OM,amusement_park|cafe|establishment|food|point_of_interest,4.2,1984
The Jungle Gym,Attraction,"816 SW 152nd St, Burien, WA 98166, USA",47.4668949,-122.3453145,ChIJvc1RvZ1EkFQR9NYbK7-T25M,establishment|gym|health|point_of_interest|school,4.7,194
Children Play Area,Attraction,"3rd floor, Bellevue Square, 575 Bellevue Way NE, Bellevue, WA 98004, USA",47.6151195,-122.2033949,ChIJ74Dwa4ZskFQRZh6nK_t2DRQ,establishment|point_of_interest,4.4,13
Sky Zone Trampoline Park,Attraction,"455 Andover Park E, Tukwila, WA 98188, USA",47.4516537,-122.2518081,ChIJjxawQ9pckFQRhmsUWZEGzRg,establishment|point_of_interest,4.1,4110
Sky Zone Trampoline Park,Attraction,"24000 Van Ry Blvd Suite 100, Mountlake Terrace, WA 98043, USA",47.78060079999999,-122.3156074,ChIJrYaNnd0RkFQRYqyL-eFr6Mc,establishment|point_of_interest,4,302
Urban Air Trampoline and Adventure Park,Attraction,"400 Strander Blvd, Tukwila, WA 98188, USA",47.4562085,-122.2524535,ChIJg5ggRQBdkFQR0h9t-MpvLPg,amusement_park|establishment|health|point_of_interest|school,3.5,18
Urban Air Trampoline and Adventure Park,Attraction,"1502 SE Everett Mall Way, Everett, WA 98208, USA",47.9114679,-122.212479,ChIJYfd2bQAHkFQR4551RLCL_gs,amusement_park|establishment|point_of_interest,4.2,137
Activate Tukwila,Attraction,"300 Andover Park W Unit 650, Tukwila, WA 98188, USA",47.45432659999999,-122.2536413,ChIJmcsF0WFdkFQRx68vYlGc9tc,establishment|point_of_interest,5,467
Sky Zone Trampoline Park,Attraction,"1765 22nd Ave S, Seattle, WA 98144, USA",47.5871509,-122.3041318,ChIJH0GPFgxrkFQRjvdLDGhydkI,amusement_park|establishment|point_of_interest,2.5,10
Adventure Alley,Attraction,"2135 Sheridan Rd D, Bremerton, WA 98310, USA",47.58807909999999,-122.6144933,ChIJtZZ_Adk5kFQRY1VWaBXwVu0,establishment|point_of_interest,4.5,21
"""Artists At Play"" Playground",Attraction,"305 Harrison St, Seattle, WA 98109, USA",47.6218952,-122.3492217,ChIJCyV7ZUYVkFQR8EKzY5kBPn0,establishment|point_of_interest,4.7,891
Seattle Children's PlayGarden,Attraction,"1745 24th Ave S, Seattle, WA 98144, USA",47.587275,-122.3019611,ChIJm88mfNZqkFQR5BOQZnoa-CE,establishment|point_of_interest,4.6,153
